"Date","Price","Open","High","Low","Vol.","Change %"
"03/29/2024","56.9000","56.8750","56.9000","56.8275","","0.51%"
"03/28/2024","56.6139","56.8169","56.9319","56.7627","","0.01%"
"03/27/2024","56.6083","56.8126","57.0042","56.7627","","0.02%"
"03/26/2024","56.5998","56.8101","56.9999","56.7627","","0.01%"
"03/25/2024","56.5947","56.8050","56.9473","56.7627","","0.02%"
"03/22/2024","56.5845","56.8022","56.9173","56.6500","","0.01%"
"03/21/2024","56.5789","56.7971","56.8057","56.7688","","0.02%"
"03/20/2024","56.5687","56.7971","56.9094","56.7627","","0.11%"
"03/19/2024","56.5070","56.7892","56.8818","56.7608","","-0.08%"
"03/18/2024","56.5528","56.7864","56.8764","56.7608","","0.01%"
"03/15/2024","56.5472","56.7816","56.8486","56.7581","","0.02%"
"03/14/2024","56.5376","56.7787","56.8188","56.7386","","0.01%"
"03/13/2024","56.5319","56.7736","56.7787","56.7736","","0.02%"
"03/12/2024","56.5217","56.7714","56.8108","56.7627","","0.01%"
"03/11/2024","56.5172","56.7668","56.8086","56.7431","","0.02%"
"03/08/2024","56.5082","56.7643","56.8041","56.7386","","0.01%"
"03/07/2024","56.5031","56.7589","56.7643","56.7589","","0.02%"
"03/06/2024","56.4924","56.7561","56.8212","56.7127","","0.01%"
"03/05/2024","56.4867","56.7510","56.7601","56.7202","","0.02%"
"03/04/2024","56.4766","56.7485","56.7510","56.7485","","0.01%"
"03/01/2024","56.4715","56.7439","56.8000","56.7202","","0.02%"
"02/29/2024","56.4624","56.7383","56.7462","56.7383","","0.02%"
"02/28/2024","56.4511","56.7299","56.7383","56.7150","","0.03%"
"02/27/2024","56.4342","56.7239","56.7299","56.7050","","0.02%"
"02/26/2024","56.4224","56.7152","56.7239","56.6974","","0.03%"
"02/23/2024","56.4049","56.7099","56.7152","56.6900","","0.02%"
"02/22/2024","56.3942","56.7016","56.7099","56.6500","","0.03%"
"02/21/2024","56.3778","56.6966","56.7045","56.6557","","0.02%"
"02/20/2024","56.3677","56.6822","56.6995","56.4937","","0.05%"
"02/19/2024","56.3389","56.6822","56.6822","56.6822","","0.00%"
"02/16/2024","56.3389","56.6735","56.6851","56.6063","","0.03%"
"02/15/2024","56.3215","56.6675","56.6763","56.5776","","0.02%"
"02/14/2024","56.3096","56.6586","56.6704","56.5766","","0.03%"
"02/13/2024","56.2916","56.6530","56.6614","56.5640","","0.02%"
"02/12/2024","56.2804","56.6445","56.6530","56.6445","","0.03%"
"02/09/2024","56.2635","56.6386","56.6445","56.5500","","0.02%"
"02/08/2024","56.2517","56.6299","56.6414","56.5227","","0.03%"
"02/07/2024","56.2343","56.6245","56.6328","56.5391","","0.02%"
"02/06/2024","56.2236","56.6161","56.6274","56.5000","","0.03%"
"02/05/2024","56.2067","56.6091","56.6161","56.6091","","0.02%"
"02/02/2024","56.1927","56.6007","56.6091","56.5000","","-0.72%"
"02/01/2024","56.6007","56.5959","56.6007","56.4500","","0.01%"
"01/31/2024","56.5959","56.5933","56.6170","56.5000","","0.00%"
"01/30/2024","56.5933","56.5888","56.5962","56.4500","","0.01%"
"01/29/2024","56.5888","56.5866","56.5917","56.4230","","0.00%"
"01/26/2024","56.5866","56.5827","56.5895","56.4458","","0.01%"
"01/25/2024","56.5827","56.5807","56.5827","56.4000","","0.00%"
"01/24/2024","56.5807","56.5765","56.5835","56.4899","","0.01%"
"01/23/2024","56.5765","56.5746","56.5765","56.4300","","0.00%"
"01/22/2024","56.5746","56.5698","56.5774","56.3500","","0.01%"
"01/19/2024","56.5698","56.5672","56.5727","56.4226","","0.00%"
"01/18/2024","56.5672","56.5634","56.5672","56.5634","","0.01%"
"01/17/2024","56.5634","56.5616","56.5662","56.3975","","0.00%"
"01/16/2024","56.5616","56.5572","56.5645","56.3459","","0.01%"
"01/15/2024","56.5572","56.5549","56.5572","56.5549","","0.00%"
"01/12/2024","56.5549","56.5507","56.5549","56.3250","","0.01%"
"01/11/2024","56.5507","56.5488","56.5507","56.3250","","0.00%"
"01/10/2024","56.5488","56.5255","56.5488","56.3750","","0.01%"
"01/09/2024","56.5443","56.5255","56.5453","56.3750","","0.00%"
"01/08/2024","56.5453","56.5255","56.5453","56.3300","","0.04%"
"01/05/2024","56.5255","56.5255","56.5378","56.1600","","0.00%"
"01/04/2024","56.5255","56.5308","56.5355","56.1500","","0.00%"
"01/03/2024","56.5255","56.5255","56.5308","56.2000","","0.00%"
"01/02/2024","56.5255","56.3266","56.5255","56.1500","","0.94%"
"01/01/2024","55.9969","56.3266","56.3266","56.3266","","0.00%"
"12/29/2023","55.9969","56.3180","56.3295","56.1350","","0.03%"
"12/28/2023","55.9796","56.3124","56.3209","56.1500","","0.02%"
"12/27/2023","55.9684","56.3032","56.3153","56.1250","","0.03%"
"12/26/2023","55.9499","56.2889","56.3032","56.2889","","0.05%"
