Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source
Ethiopia,Addis Ababa,Addis Ketema Clinic 1,Clinic,MoH,9.029700000000000,38.718600000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 10,Clinic,MoH,9.029199999999990,38.738599999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 11,Clinic,MoH,9.028700000000000,38.736199999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 12,Clinic,MoH,9.028200000000000,38.734699999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 13,Clinic,MoH,9.029400000000000,38.734000000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 14,Clinic,MoH,9.025499999999990,38.726399999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 15,Clinic,MoH,9.023000000000000,38.735100000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 16,Clinic,MoH,9.023400000000000,38.735100000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 17,Clinic,MoH,9.023600000000000,38.736600000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 18,Clinic,MoH,9.023400000000000,38.738300000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 19,Clinic,MoH,9.026000000000000,38.736800000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 2,Clinic,MoH,9.039199999999990,38.732799999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 20,Clinic,MoH,9.026500000000000,38.735300000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 21,Clinic,MoH,9.018599999999990,38.729100000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 22,Clinic,MoH,9.019299999999990,38.736800000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 23,Clinic,MoH,9.030300000000000,38.743000000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 24,Clinic,MoH,9.031599999999990,38.742300000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 25,Clinic,MoH,9.032400000000000,38.740800000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 26,Clinic,MoH,9.035399999999990,38.740000000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 27,Clinic,MoH,9.043100000000000,38.736600000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 3,Clinic,MoH,9.038300000000000,38.735799999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 4,Clinic,MoH,9.031700000000000,38.726199999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 5,Clinic,MoH,9.031700000000000,38.729199999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 6,Clinic,MoH,9.028900000000000,38.728600000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 7,Clinic,MoH,9.029299999999990,38.730499999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 8,Clinic,MoH,9.035299999999990,38.731000000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Clinic 9,Clinic,MoH,9.032299999999990,38.735100000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Health Centre 1,Health Centre,MoH,9.032299999999990,38.725800000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Health Centre 2,Health Centre,MoH,9.029700000000000,38.726700000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Health Centre 3,Health Centre,MoH,9.023600000000000,38.740400000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Health Post 1,Health Post,MoH,9.032500000000000,38.739699999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Health Post 2,Health Post,MoH,9.028000000000000,38.733400000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Hospital 1,Hospital,Govt.,9.025600000000000,38.725800000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Hospital 2,Hospital,Govt.,9.032800000000000,38.722799999999900,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Hospital 3,Hospital,Govt.,9.035800000000000,38.725700000000000,Digitized from online map
Ethiopia,Addis Ababa,Addis Ketema Hospital 4,Hospital,Govt.,9.029500000000000,38.735500000000000,Digitized from online map
Ethiopia,Addis Ababa,Akaki Kaliti Clinic 1,Clinic,MoH,8.950300000000000,38.768000000000000,Digitized from online map
Ethiopia,Addis Ababa,Akaki Kaliti Clinic 10,Clinic,MoH,8.907400000000000,38.774700000000000,Digitized from online map
Ethiopia,Addis Ababa,Akaki Kaliti Clinic 11,Clinic,MoH,8.879400000000000,38.762000000000000,Digitized from online map
